"Client.Type","Account","ACV_2022","ACV_2023","ACV_2024","First_Record_Type_Name","First_Opportunity_ID"
"End Client","0015Y00004bEVnf",0,46000,0,"R&D","0065Y00001gY3QS"
"End Client","0015Y00004bEW8L",0,2860.76,0,"GOAT.tax","0065Y00001gY3RL"
"End Client","0015Y00004bEXus",0,9500,0,"Cost Seg","0065Y00001gY3WL"
"End Client","0015Y00004bEZ9t",0,6500,0,"Cost Seg","0065Y00001gY3bG"
"End Client","0015Y00004bEZCl",0,5500,0,"Cost Seg","0065Y00001gY3cJ"
"End Client","0015Y00004bEZme",0,6500,0,"Cost Seg","0065Y00001gY3dg"
"End Client","0015Y00004bEb6a",0,6500,0,"Cost Seg","0065Y00001gY4WA"
"End Client","0015Y00004bEbER",0,5000,0,"Cost Seg","0065Y00001gYAbA"
"End Client","0015Y00004bEbPu",0,6000,0,"Cost Seg","0065Y00001gY7Rw"
"End Client","0015Y00004bEbbx",0,4500,0,"Cost Seg","0065Y00001gYAAi"
"End Client","0015Y00004bEcA1",0,30000,0,"Cost Seg","0065Y00001gY7Mr"
"End Client","0015Y00004bEdFP",0,20400,0,"Cost Seg","0065Y00001gY3ng"
"End Client","0015Y00004bEsqr",0,24300,0,"Energy","0065Y00001gY43M"
"End Client","0015Y00004bEtSf",0,2750,0,"Cost Seg","0065Y00001gY44j"
"End Client","0015Y00004bEty2",0,15265.73,0,"ERC","0065Y00001gY48z"
"CPA","0015Y00004bEudU",0,26500,0,"Energy","0065Y00001gY4DG"
"End Client","0015Y00004bEuiJ",0,8000,0,"Cost Seg","0065Y00001gY4Ic"
"End Client","0015Y00004bEwkC",0,6500,0,"Cost Seg","0065Y00001gY4Ry"
"End Client","0015Y00004bF41Q",0,292750,0,"Energy","0065Y00001gY4sR"
"End Client","0015Y00004bF57A",0,6000,0,"Cost Seg","0065Y00001gY4yK"
"End Client","0015Y00004bFP7z",0,54000,0,"R&D","0065Y00001gY5bn"
"End Client","0015Y00004bFPeq",0,13250,0,"ERC","0065Y00001iZG7x"
"End Client","0015Y00004bFS32",0,2000,0,"ERC","0065Y00001gY5lT"
"End Client","0015Y00004cDD8N",0,8000,0,"Cost Seg","0065Y00001gY6FX"
"End Client","0015Y00004cDeq7",0,16508.28,0,"ERC","0065Y00001gY7Tn"
"End Client","0015Y00004cDoKU",0,12100,0,"Cost Seg","0065Y00001gY7rz"
"CPA","0015Y00004cDpM9",0,14000,0,"Cost Seg","0065Y00001gY7sx"
"End Client","0015Y00004cDrVw",0,4000,0,"Cost Seg","0065Y00001iNnji"
"End Client","0015Y00004cE2mu",0,6000,0,"Cost Seg","0065Y00001gOn2G"
"End Client","0015Y00004cE31L",0,107901.99,0,"ERC","0065Y00001gY8Ev"
"End Client","0015Y00004cE66b",0,6500,0,"Cost Seg","0065Y00001gY8XO"
"End Client","0015Y00004cEB8x",0,6480,0,"Cost Seg","0065Y00001gEeit"
"End Client","0015Y00004cESM6",0,0,3900,"Cost Seg","006TO000002YrAP"
"End Client","0015Y00004cEVQv",0,15200,0,"Cost Seg","0065Y00001gYBto"
"End Client","0015Y00004cEVee",0,8075,0,"Cost Seg","0065Y00001gOaYd"
"End Client","0015Y00004cEYiq",0,29900,0,"Cost Seg","0065Y00001gYAg5"
"End Client","0015Y00004cErTW",0,4000,0,"Cost Seg","0065Y00001gYBEd"
"End Client","0015Y00004cEs0O",0,9070,0,"Cost Seg","0065Y00001gYBIB"
"End Client","0015Y00004cEt9n",0,3000,0,"Cost Seg","0065Y00001gY7DV"
"End Client","0015Y00004cEtz4",0,11700,0,"Cost Seg","0065Y00001gYbsK"
"End Client","0015Y00004cEvbY",0,86547.65,0,"ERC","0065Y00001gYBXu"
"End Client","0015Y00004cExoG",0,12000,0,"Cost Seg","0065Y00001gYBfA"
"End Client","0015Y00004cEy8a",0,5000,0,"Cost Seg","0065Y00001gYBix"
"End Client","0015Y00004cFHu5",0,10340,0,"Cost Seg","0065Y00001gYFbX"
"End Client","0015Y00004cFJvy",0,10480,0,"Cost Seg","0065Y00001gYW6W"
"End Client","0015Y00004f6u0Q",0,32000,0,"Cost Seg","0065Y00001gYFrb"
